3881,file/NOTIFICATION FOR PRAGATI SCHOLARSHIP FOR GIRLS STUDENTS 2024-25.pdf,[28-10-2024] | Notification for Pragati Scholarship for Girls Students for the Year 2024-25,.pdf,NOTIFICATION FOR PRAGATI SCHOLARSHIP FOR GIRLS STUDENTS 2024-25.pdf
3880,file/NOTIFICATION '  NATIONAL SCHOLARSHIP FOR POST GRADUATE STUDIES FOR THE YEAR 2024-25.pdf,[28-10-2024] | Notification for National Scholarship for Post Graduate Studies for the Year 2024-25,.pdf,NOTIFICATION '  NATIONAL SCHOLARSHIP FOR POST GRADUATE STUDIES FOR THE YEAR 2024-25.pdf
3879,file/NOTIFICATION FOR SWANATH SCHOLARSHIP  FOR THE YEAR 2024-24.pdf,[28-10-2024] | Notification for Swanath Scholarship  for the Year 2024-25,.pdf,NOTIFICATION FOR SWANATH SCHOLARSHIP  FOR THE YEAR 2024-24.pdf
3878,file/NOTIFICATION FOR SAKSHAM SCHOLARSHIP FOR THE YEAR 2024-25.pdf,[28-10-2024] | Notification for Saksham Scholarship for the Year 2024-25,.pdf,NOTIFICATION FOR SAKSHAM SCHOLARSHIP FOR THE YEAR 2024-25.pdf
3877,file/Interview_ASR.pdf,[28-10-2024] | [interview for the Post of Junior Research Assistant for the project entitled “Development of Accent Based Automatic Speech Recognition (ASR) for Kashmiri Language” shall be held on 06-11-2024 (Wednesday) ],.pdf,Interview_ASR.pdf
3876,file/Department of Tourism Managementmmm.pdf,"[23-10-2024] | Ph.D. Result Notification of Mr. Basith Nabi Wani, Centre for Hospitality and Tourism ",.pdf,Department of Tourism Managementmmm.pdf
3875,file/Admission notice BSc Nursing BATCH 2024-2028[1]SF.pdf,[22-10-2024] | ADMISSION NOTIFICATION TO LEFT OVER SEATS IN B SC. NURSING BATCH 2024-2028 (Under Self Finance/ Self Supporting/NRI / All India Seats),.pdf,Admission notice BSc Nursing BATCH 2024-2028[1]SF.pdf
3874,file/Document8phd.pdf,"Ph.D. Viva Voce Notification  of Mr. Tanveer Nasir, Centre for Hospitality and Tourism",.pdf,Document8phd.pdf
3873,file/36ce2023ew.pdf,"[17-10-2024] | Result of 36-CE-2023, Semester-I & II , Earlier Withheld",.pdf,36ce2023ew.pdf
3872,file/nadiyahrashid.pdf,"[17-10-2024] | Ph.D. Result Notification of Ms. Nadiyah Rashid, Department of Management Studies",.pdf,nadiyahrashid.pdf
3871,file/sakeenamuzafareducation.pdf,"[17-10-2024] | Ph.D. Result Notification of Ms. Sakeena Muzzafar, Department of Education-",.pdf,sakeenamuzafareducation.pdf
3870,file/InterviewiNotice16102024.pdf,[16-10-2024] | Interview Notice for the recruitment of post of Junior Research Assistant for the project entitled “Design and Implementation of Virtual Security Systems in Remotely Located Educational Institutions using Internet of Things (IoT)”,.pdf,InterviewiNotice16102024.pdf
